algo_name,mode,final_cumulative_reward,final_cumulative_expected_regret,mean_reward,interview_rate,ignore_rate
contextual_ts,online,151722.81460470814,10302.826091217014,0.1444979186711509,0.1384942857142857,0.5917914285714285
linucb,online,151293.07774494166,11028.819340310729,0.144088645471371,0.1382257142857142,0.5917742857142857
gaussian_ts,online,143242.5464176163,18854.904982876647,0.1364214727786813,0.1337457142857142,0.6030238095238095
epsilon_greedy,online,144075.38952006336,19447.20113636156,0.1372146566857744,0.1342647619047619,0.6047304761904762
ucb1,online,140855.3672250695,22874.03549603113,0.1341479687857782,0.1303504761904761,0.61358
