policy,final_cum_reward,final_cum_regret,mean_reward,interview_rate,ignore_rate
Contextual TS,151722.81,10302.83,0.1445,0.1385,0.5918
LinUCB,151293.08,11028.82,0.1441,0.1382,0.5918
Gaussian TS,143242.55,18854.9,0.1364,0.1337,0.603
ε-Greedy,144075.39,19447.2,0.1372,0.1343,0.6047
UCB1,140855.37,22874.04,0.1341,0.1304,0.6136
